row,sample
0,development
1,development
2,development
3,holdout
4,development
5,development
6,development
7,holdout
8,development
9,development
10,holdout
11,development
12,holdout
13,holdout
14,development
15,holdout
16,development
17,development
18,development
19,holdout
20,holdout
21,development
22,development
23,holdout
24,development
25,development
26,development
27,development
28,development
29,development
30,holdout
31,holdout
32,development
33,holdout
34,development
35,development
36,development
37,development
38,development
39,development
40,development
41,development
42,development
43,development
44,development
45,development
46,development
47,development
48,development
49,development
50,development
51,holdout
52,development
53,development
54,development
55,development
56,development
57,development
58,holdout
59,development
60,development
61,development
62,development
63,development
64,development
65,development
66,holdout
67,development
68,development
69,development
70,holdout
71,holdout
72,holdout
73,development
74,holdout
75,development
76,development
77,development
78,development
79,holdout
80,development
81,holdout
82,development
83,development
84,development
85,development
86,development
87,holdout
88,development
89,development
90,development
91,holdout
92,development
93,development
94,development
95,holdout
96,development
97,development
98,development
99,development
100,holdout
101,development
102,development
103,development
104,development
105,development
106,holdout
107,development
108,development
109,holdout
110,development
111,development
112,holdout
113,development
114,development
115,development
116,holdout
117,holdout
118,development
119,development
120,development
121,development
122,development
123,development
124,holdout
125,development
126,development
127,development
128,development
129,development
130,development
131,development
132,holdout
133,development
134,development
135,development
136,development
137,development
138,holdout
139,development
140,holdout
141,development
142,development
143,holdout
144,development
145,holdout
146,development
147,development
148,development
149,development
150,development
151,development
152,development
153,development
154,holdout
155,development
156,holdout
157,holdout
158,holdout
159,holdout
160,development
161,development
162,holdout
163,development
164,development
165,development
166,development
167,development
168,development
169,development
170,development
171,development
172,holdout
173,development
174,development
175,holdout
176,holdout
177,holdout
178,holdout
179,holdout
180,development
181,development
182,development
183,holdout
184,holdout
185,development
186,development
187,holdout
188,development
189,development
190,development
191,holdout
192,development
193,holdout
194,development
195,holdout
196,development
197,development
198,development
199,holdout
200,holdout
201,holdout
202,holdout
203,holdout
204,holdout
205,development
206,holdout
207,holdout
208,development
209,holdout
210,development
211,development
212,development
213,development
214,development
215,development
216,holdout
217,holdout
218,development
219,development
220,holdout
221,development
222,development
223,development
224,development
225,development
226,development
227,development
228,holdout
229,holdout
230,development
231,development
232,holdout
233,holdout
234,development
235,development
236,development
237,development
238,holdout
239,development
240,holdout
241,holdout
242,holdout
243,holdout
244,development
245,holdout
246,holdout
247,development
248,holdout
249,development
250,development
251,development
252,holdout
253,holdout
254,holdout
255,holdout
256,holdout
257,holdout
258,holdout
259,holdout
260,development
261,development
262,development
263,development
264,development
265,holdout
266,development
267,development
268,development
269,development
270,development
271,holdout
272,development
273,holdout
274,development
275,development
276,development
277,development
278,development
279,development
280,holdout
281,development
282,holdout
283,development
284,development
285,holdout
286,development
287,holdout
288,development
289,development
290,development
291,development
292,development
293,development
294,development
295,holdout
296,development
297,holdout
298,holdout
299,holdout
300,holdout
301,development
302,holdout
303,holdout
304,development
305,development
306,holdout
307,development
308,holdout
309,development
310,development
311,development
312,development
313,development
314,development
315,development
316,development
317,holdout
318,holdout
319,development
320,development
321,development
322,development
323,development
324,development
325,holdout
326,development
327,development
328,development
329,holdout
330,development
331,development
332,development
333,development
334,holdout
335,development
336,development
337,development
338,development
339,holdout
340,development
341,holdout
342,development
343,development
344,holdout
345,development
346,holdout
347,holdout
348,holdout
349,development
350,development
351,development
352,development
353,development
354,development
355,holdout
356,holdout
357,holdout
358,development
359,holdout
360,development
361,holdout
362,holdout
363,development
364,development
365,holdout
366,development
367,development
368,development
369,development
370,holdout
371,development
372,development
373,holdout
374,development
375,development
376,development
377,holdout
378,development
379,development
380,development
381,development
382,development
383,development
384,development
385,holdout
386,holdout
387,development
388,development
389,development
390,development
391,development
392,holdout
393,development
394,development
395,development
396,development
397,holdout
398,development
399,development
400,development
401,holdout
402,development
403,development
404,holdout
405,development
406,development
407,development
408,development
409,development
410,development
411,development
412,holdout
413,development
414,development
415,development
416,development
417,development
418,development
419,development
420,development
421,holdout
422,holdout
423,development
424,development
425,development
426,development
427,holdout
428,development
429,development
430,development
431,holdout
432,development
433,holdout
434,development
435,holdout
436,development
437,development
438,development
439,development
440,development
441,development
442,development
443,holdout
444,holdout
445,development
446,holdout
447,development
448,development
449,development
450,holdout
451,development
452,development
453,development
454,development
455,development
456,holdout
457,holdout
458,development
459,development
460,development
461,holdout
462,development
463,development
464,holdout
465,development
466,holdout
467,development
468,development
469,development
470,holdout
471,holdout
472,development
473,holdout
474,holdout
475,development
476,development
477,holdout
478,development
479,development
480,development
481,development
482,development
483,development
484,development
485,development
486,development
487,holdout
488,holdout
489,holdout
490,development
491,holdout
492,holdout
493,development
494,development
495,holdout
496,development
497,holdout
498,holdout
499,development
500,development
501,development
502,development
503,development
504,development
505,development
506,development
507,development
508,development
509,development
510,holdout
511,holdout
512,holdout
513,development
514,development
515,development
516,development
517,development
518,holdout
519,development
520,development
521,development
522,holdout
523,development
524,development
525,holdout
526,development
527,holdout
528,development
529,development
530,development
531,development
532,holdout
533,holdout
534,holdout
535,development
536,development
537,development
538,development
539,development
540,development
541,development
542,development
543,development
544,development
545,holdout
546,holdout
547,development
548,holdout
549,development
550,development
551,development
552,development
553,development
554,holdout
555,development
556,development
557,development
558,development
559,development
560,holdout
561,holdout
562,development
563,development
564,development
565,holdout
566,development
567,development
568,development
569,development
570,holdout
571,development
572,development
573,development
574,development
575,development
576,development
577,development
578,holdout
579,development
580,development
581,development
582,development
583,development
584,development
585,holdout
586,development
587,development
588,development
589,development
590,development
591,development
592,development
593,holdout
594,development
595,development
596,development
597,development
598,holdout
599,development
600,development
601,development
602,development
603,development
604,development
605,development
606,holdout
607,development
608,holdout
609,holdout
610,development
611,development
612,development
613,development
614,development
615,development
616,development
617,development
618,holdout
619,holdout
620,development
621,development
622,holdout
623,development
624,development
625,development
626,development
627,holdout
628,development
629,development
630,development
631,development
632,development
633,holdout
634,development
635,development
636,holdout
637,development
638,holdout
639,development
640,development
641,development
642,holdout
643,development
644,development
645,development
646,development
647,development
648,holdout
649,development
650,development
651,development
652,development
653,holdout
654,development
655,development
656,development
657,development
658,holdout
659,development
660,development
661,development
662,holdout
663,holdout
664,development
665,development
666,development
667,holdout
668,holdout
669,development
670,holdout
671,development
672,development
673,development
674,development
675,development
676,development
677,holdout
678,development
679,development
680,holdout
681,holdout
682,development
683,holdout
684,development
685,development
686,development
687,holdout
688,holdout
689,development
690,development
691,development
692,development
693,development
694,development
695,development
696,holdout
697,development
698,development
699,development
700,development
701,development
702,holdout
703,development
704,development
705,holdout
706,development
707,development
708,development
709,development
710,development
711,development
712,development
713,development
714,development
715,holdout
716,holdout
717,holdout
718,holdout
719,development
720,development
721,development
722,development
723,development
724,holdout
725,development
726,development
727,development
728,development
729,holdout
730,holdout
731,development
732,development
733,development
734,holdout
735,development
736,development
737,holdout
738,development
739,holdout
740,development
741,development
742,development
743,development
744,holdout
745,development
746,development
747,development
748,development
749,holdout
750,holdout
751,development
752,development
753,development
754,development
755,development
756,holdout
757,holdout
758,development
759,development
760,development
761,development
762,holdout
763,development
764,development
765,development
766,development
767,development
768,holdout
769,development
770,development
771,holdout
772,holdout
773,development
774,holdout
775,development
776,development
777,development
778,holdout
779,development
780,development
781,development
782,development
783,holdout
784,development
785,development
786,development
787,development
788,holdout
789,holdout
790,development
791,holdout
792,holdout
793,development
794,holdout
795,holdout
796,development
797,development
798,holdout
799,development
800,holdout
801,development
802,development
803,development
804,development
805,development
806,development
807,development
808,holdout
809,development
810,development
811,development
812,development
813,development
814,development
815,development
816,holdout
817,holdout
818,development
819,development
820,development
821,holdout
822,holdout
823,development
824,development
825,holdout
826,development
827,development
828,development
829,development
830,development
831,development
832,holdout
833,development
834,holdout
835,holdout
836,development
837,development
838,holdout
839,development
840,development
841,development
842,holdout
843,holdout
844,holdout
845,development
846,development
847,holdout
848,holdout
849,development
850,holdout
851,holdout
852,development
853,development
854,holdout
855,development
856,development
857,development
858,development
859,holdout
860,development
861,development
862,holdout
863,development
864,development
865,development
866,development
867,development
868,development
869,holdout
870,development
871,development
872,holdout
873,development
874,holdout
875,holdout
876,holdout
877,holdout
878,development
879,development
880,holdout
881,development
882,development
883,holdout
884,development
885,holdout
886,holdout
887,development
888,development
889,development
890,development
891,holdout
892,development
893,development
894,development
895,holdout
896,holdout
897,development
898,development
899,development
900,development
901,development
902,development
903,development
904,development
905,development
906,development
907,development
908,holdout
909,development
910,development
911,holdout
912,development
913,holdout
914,development
915,holdout
916,development
917,development
918,development
919,holdout
920,holdout
921,holdout
922,holdout
923,development
924,development
925,development
926,development
927,development
928,development
929,development
930,development
931,development
932,development
933,development
934,development
935,development
936,development
937,development
938,development
939,development
940,development
941,development
942,development
943,development
944,development
945,development
946,development
947,development
948,development
949,development
950,development
951,development
952,development
953,development
954,development
955,development
956,holdout
957,development
958,development
959,development
960,development
961,development
962,development
963,development
964,development
965,development
966,development
967,development
968,development
969,holdout
970,holdout
971,holdout
972,holdout
973,holdout
974,development
975,development
976,development
977,development
978,development
979,development
980,holdout
981,development
982,holdout
983,development
984,holdout
985,holdout
986,holdout
987,development
988,development
989,development
990,holdout
991,holdout
992,holdout
993,development
994,development
995,development
996,development
997,development
998,development
999,development
1000,holdout
1001,development
1002,development
1003,development
1004,development
1005,development
1006,development
1007,development
1008,development
1009,holdout
1010,development
1011,development
1012,holdout
1013,development
1014,development
1015,development
1016,holdout
1017,development
1018,holdout
1019,holdout
1020,holdout
1021,holdout
1022,development
1023,development
1024,development
1025,development
1026,development
1027,development
1028,holdout
1029,holdout
1030,development
1031,holdout
1032,development
1033,development
1034,development
1035,development
1036,development
1037,development
1038,holdout
1039,development
1040,holdout
1041,holdout
1042,development
1043,development
1044,holdout
1045,development
1046,development
1047,holdout
1048,development
1049,development
1050,development
1051,development
1052,development
1053,development
1054,development
1055,holdout
1056,development
1057,holdout
1058,development
1059,development
1060,development
1061,development
1062,development
1063,development
1064,development
1065,development
1066,holdout
1067,holdout
1068,holdout
1069,development
1070,development
1071,development
1072,development
1073,development
1074,holdout
1075,development
1076,holdout
1077,holdout
1078,holdout
1079,development
1080,holdout
1081,development
1082,holdout
1083,holdout
1084,holdout
1085,holdout
1086,development
1087,development
1088,development
1089,development
1090,development
1091,development
1092,development
1093,development
1094,development
1095,development
1096,holdout
1097,holdout
1098,holdout
1099,development
1100,development
1101,development
1102,development
1103,development
1104,development
1105,development
1106,holdout
1107,development
1108,development
1109,development
1110,development
1111,development
1112,development
1113,holdout
1114,development
1115,development
1116,development
1117,holdout
1118,holdout
1119,development
1120,development
1121,holdout
1122,development
1123,holdout
1124,development
1125,holdout
1126,development
1127,holdout
1128,holdout
1129,holdout
1130,development
1131,holdout
1132,development
1133,development
1134,development
1135,development
1136,development
1137,development
1138,holdout
1139,development
1140,development
1141,development
1142,development
1143,development
1144,development
1145,development
1146,holdout
1147,development
1148,development
1149,holdout
